NUMBER,TICK,TIME,PRESSURE,TEMPERATURE_BMP280,BMP280_ERR,BAR_HEIGHT,LAT,LON,HEIGHT,HASFIX,ADC_HIGH_1,ADC_LOW_1,RESISTANCE_1,ADC_HIGH_2,ADC_LOW_2,RESISTANCE_2,ADC_HIGH_3,ADC_LOW_3,RESISTANCE_3
86,430,540965,98727.0,27.0,0,216.3582321613778,5632.00244140625,0.0,146.5,1,39502,57266,199993,39462,57233,199993,39451,57223,199993
87,435,547225,98724.0,27.030000686645508,0,216.6131471671942,5632.00390625,0.0,146.39999389648438,1,39500,57265,199993,39459,57231,199993,39450,57222,199993
88,440,553498,98725.0,27.049999237060547,0,216.52817480168372,5632.001953125,0.0,146.39999389648438,1,39499,57266,199993,39457,57231,199993,39451,57223,199993
89,445,559733,98724.0,27.059999465942383,0,216.6131471671942,5632.001953125,0.0,146.1999969482422,1,39499,57265,199993,39459,57232,199993,39452,57223,199993
90,450,566009,98727.0,27.059999465942383,0,216.3582321613778,5632.00244140625,0.0,146.1999969482422,1,39498,57266,199993,39467,57234,199993,39449,57223,199993
91,455,572293,98724.0,27.079999923706055,0,216.6131471671942,5632.00146484375,0.0,146.3000030517578,1,39500,57265,199993,39458,57230,199993,39453,57222,199993
92,460,578528,98724.0,27.09000015258789,0,216.6131471671942,5643.4873046875,3742.949462890625,146.39999389648438,1,39520,57264,199993,39458,57230,199993,39460,57224,199993
93,465,584766,98724.0,27.100000381469727,0,216.6131471671942,5632.0009765625,0.0,146.39999389648438,1,39511,57267,199993,39459,57230,199993,39449,57222,199993
94,470,591056,98726.0,27.110000610351562,0,216.4432031330848,5632.00146484375,0.0,146.39999389648438,1,39496,57263,199993,39461,57231,199993,39448,57221,199993
95,475,597305,98726.0,27.100000381469727,0,216.4432031330848,5632.0009765625,0.0,146.6999969482422,1,39500,57265,199993,39459,57231,199993,39450,57222,199993
96,480,603540,98722.0,27.1200008392334,0,216.78309398898432,5632.00146484375,0.0,146.8000030517578,1,39499,57264,199993,39459,57231,199993,39449,57222,199993
97,485,609802,98725.0,27.1200008392334,0,216.52817480168372,5632.0009765625,0.0,146.89999389648438,1,39520,57266,199993,39458,57229,199993,39449,57221,199993
98,490,616037,98725.0,27.1200008392334,0,216.52817480168372,5632.001953125,0.0,146.6999969482422,1,39502,57266,199993,39459,57229,199993,39449,57221,199993
99,495,622293,98725.0,27.110000610351562,0,216.52817480168372,5632.001953125,0.0,146.1999969482422,1,39500,57263,199993,39458,57229,199993,39449,57222,199993
100,500,628557,98722.0,27.1200008392334,0,216.78309398898432,5632.0009765625,0.0,145.89999389648438,1,39506,57266,199993,39457,57227,199993,39447,57221,199993
101,505,634792,98723.0,27.1299991607666,0,216.6981202296212,5643.48681640625,3742.94873046875,145.60000610351562,1,39499,57263,199993,39458,57229,199993,39448,57220,199993
102,510,641055,98726.0,27.139999389648438,0,216.4432031330848,5643.48681640625,3742.94873046875,145.39999389648438,1,39497,57261,199993,39456,57229,199993,39454,57222,199993
103,515,647335,98724.0,27.1299991607666,0,216.6131471671942,5643.48681640625,3742.94873046875,145.1999969482422,1,39500,57263,199993,39456,57230,199993,39450,57220,199993
104,520,653578,98721.0,27.1299991607666,0,216.86806844529346,5643.48681640625,3742.94921875,145.5,1,39498,57263,199993,39456,57227,199993,39450,57220,199993
105,525,659828,98723.0,27.1299991607666,0,216.6981202296212,5643.48681640625,3742.94921875,145.6999969482422,1,39498,57262,199993,39458,57227,199993,39450,57221,199993
106,530,662113,98723.0,27.1299991607666,0,216.6981202296212,5643.48681640625,3742.94921875,145.6999969482422,1,39500,57261,199993,39458,57229,199993,39448,57221,199993
107,535,664377,98721.0,27.1299991607666,0,216.86806844529346,5643.48681640625,3742.94921875,145.60000610351562,1,39529,57262,199993,39459,57228,199993,39451,57219,199993
108,540,666613,98721.0,27.1200008392334,0,216.86806844529346,5643.48681640625,3742.94921875,145.60000610351562,1,39498,57263,199993,39457,57228,199993,39449,57220,199993
109,545,668872,98721.0,27.1299991607666,0,216.86806844529346,5643.48681640625,3742.94921875,145.6999969482422,1,39497,57260,199993,39459,57229,199993,39451,57222,199993
110,550,671134,98722.0,27.1299991607666,0,216.78309398898432,5643.48681640625,3742.94921875,145.8000030517578,1,39501,57263,199993,39457,57228,199993,39448,57219,199993
111,555,673395,98723.0,27.1299991607666,0,216.6981202296212,5643.48681640625,3742.94921875,146.0,1,39499,57262,199993,39457,57228,199993,39453,57220,199993
112,560,675656,98722.0,27.1299991607666,0,216.78309398898432,5643.48681640625,3742.94921875,146.1999969482422,1,39499,57261,199993,39457,57228,199993,39448,57219,199993
113,565,677893,98722.0,27.1200008392334,0,216.78309398898432,5643.48681640625,3742.94921875,146.39999389648438,1,39498,57261,199993,39460,57228,199993,39451,57220,199993
114,570,680127,98722.0,27.139999389648438,0,216.78309398898432,5643.48681640625,3742.94921875,146.5,1,39498,57260,199993,39458,57227,199993,39450,57220,199993
115,575,682413,98723.0,27.1299991607666,0,216.6981202296212,5643.48681640625,3742.94921875,146.5,1,39503,57262,199993,39458,57228,199993,39450,57220,199993
116,580,684665,98723.0,27.1299991607666,0,216.6981202296212,5632.0029296875,0.0,146.39999389648438,1,39496,57261,199993,39458,57228,199993,39451,57221,199993
117,585,686904,98724.0,27.1299991607666,0,216.6131471671942,5643.48681640625,3742.94921875,146.5,1,39499,57260,199993,39458,57228,199993,39451,57220,199993
118,590,689205,98723.0,27.1299991607666,0,216.6981202296212,5643.48681640625,3742.94921875,146.5,1,39497,57260,199993,39458,57227,199993,39449,57220,199993
119,595,691442,98720.0,27.1299991607666,0,216.95304359856829,5643.48681640625,3742.94921875,146.5,1,39500,57262,199993,39459,57228,199993,39451,57219,199993
120,600,693705,98719.0,27.1299991607666,0,217.03801944880877,5643.48681640625,3742.94921875,146.60000610351562,1,39516,57261,199993,39458,57227,199993,39449,57219,199993
121,605,695969,98719.0,27.139999389648438,0,217.03801944880877,5632.00244140625,0.0,146.5,1,39497,57260,199993,39460,57228,199993,39458,57223,199993
122,610,698205,98721.0,27.1299991607666,0,216.86806844529346,5643.48681640625,3742.949462890625,146.3000030517578,1,39497,57260,199993,39458,57227,199993,39450,57220,199993
123,615,700467,98717.0,27.139999389648438,0,217.20797324025563,5643.48681640625,3742.949462890625,146.1999969482422,1,39499,57260,199993,39456,57229,199993,39450,57220,199993
124,620,702750,98719.0,27.139999389648438,0,217.03801944880877,5643.48681640625,3742.949462890625,146.3000030517578,1,39496,57261,199993,39459,57227,199993,39451,57219,199993
125,625,704988,98723.0,27.149999618530273,0,216.6981202296212,5643.48681640625,3742.949462890625,146.1999969482422,1,39500,57260,199993,39458,57227,199993,39450,57220,199993
126,630,707226,98720.0,27.139999389648438,0,216.95304359856829,5643.48681640625,3742.949462890625,145.8000030517578,1,39500,57261,199993,39460,57227,199993,39452,57219,199993
127,635,709519,98717.0,27.139999389648438,0,217.20797324025563,5643.48681640625,3742.949462890625,145.89999389648438,1,39499,57260,199993,39462,57228,199993,39450,57220,199993
128,640,711782,98717.0,27.139999389648438,0,217.20797324025563,5643.48681640625,3742.949462890625,145.89999389648438,1,39497,57260,199993,39458,57227,199993,39447,57218,199993
129,645,714034,98723.0,27.149999618530273,0,216.6981202296212,5643.48681640625,3742.949462890625,145.89999389648438,1,39502,57265,199993,39457,57227,199993,39450,57218,199993
130,650,716293,98724.0,27.139999389648438,0,216.6131471671942,5632.00048828125,0.0,145.89999389648438,1,39496,57259,199993,39457,57227,199993,39451,57220,199993
131,655,718580,98720.0,27.1299991607666,0,216.95304359856829,5643.48681640625,3742.94921875,145.6999969482422,1,39498,57260,199993,39458,57227,199993,39451,57219,199993
132,660,720817,98720.0,27.139999389648438,0,216.95304359856829,5643.48681640625,3742.949462890625,145.89999389648438,1,39496,57259,199993,39459,57227,199993,39450,57220,199993
133,665,723091,98716.0,27.139999389648438,0,217.2929511814915,5643.48681640625,3742.949462890625,145.89999389648438,1,39498,57260,199993,39460,57228,199993,39450,57220,199993
134,670,725334,98716.0,27.139999389648438,0,217.2929511814915,5643.48681640625,3742.94921875,145.89999389648438,1,39519,57261,199993,39459,57227,199993,39450,57219,199993
135,675,727571,98717.0,27.139999389648438,0,217.20797324025563,5632.00146484375,0.0,146.0,1,39515,57259,199993,39466,57227,199993,39450,57220,199993
136,680,729854,98719.0,27.139999389648438,0,217.03801944880877,5643.48681640625,3742.94921875,146.10000610351562,1,39496,57259,199993,39459,57227,199993,39450,57219,199993
137,685,732097,98721.0,27.139999389648438,0,216.86806844529346,5643.48681640625,3742.94921875,146.39999389648438,1,39500,57259,199993,39458,57227,199993,39449,57218,199993
138,690,734348,98720.0,27.149999618530273,0,216.95304359856829,5643.48681640625,3742.94921875,146.5,1,39497,57259,199993,39457,57227,199993,39448,57218,199993
139,695,736634,98721.0,27.139999389648438,0,216.86806844529346,5643.48681640625,3742.94921875,146.60000610351562,1,39502,57259,199993,39458,57226,199993,39450,57219,199993
140,700,738871,98718.0,27.149999618530273,0,217.1229959960346,5632.001953125,0.0,146.8000030517578,1,39499,57259,199993,39458,57227,199993,39451,57219,199993
141,705,741112,98721.0,27.139999389648438,0,216.86806844529346,5643.48681640625,3742.949462890625,146.8000030517578,1,39496,57260,199993,39459,57227,199993,39452,57218,199993
142,710,743372,98717.0,27.139999389648438,0,217.20797324025563,5643.48681640625,3742.949462890625,146.89999389648438,1,39517,57261,199993,39457,57227,199993,39450,57218,199993
143,715,745610,98718.0,27.139999389648438,0,217.1229959960346,5643.48681640625,3742.94921875,146.89999389648438,1,39497,57260,199993,39460,57227,199993,39451,57219,199993
144,720,747887,98721.0,27.149999618530273,0,216.86806844529346,5632.0009765625,0.0,146.8000030517578,1,39496,57258,199993,39457,57226,199993,39450,57220,199993
145,725,750144,98719.0,27.139999389648438,0,217.03801944880877,5643.48681640625,3742.949462890625,146.8000030517578,1,39497,57259,199993,39460,57227,199993,39449,57219,199993
146,730,752391,98719.0,27.149999618530273,0,217.03801944880877,5643.48681640625,3742.949462890625,146.8000030517578,1,39498,57258,199993,39462,57228,199993,39448,57219,199993
